PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
BewareOfThe12th,Washington Volt,Western,N/A,EBA,1,7,2,0,0,6,3,1,1,3,3,1,2
Key0nteGeorge,Washington Volt,Western,N/A,EBA,1,2,4,1,0,1,2,0,0,1,1,1,2
mpjy,Las Vegas Thrill,Western,N/A,EBA,2,19.5,0.5,4.5,0.5,0,0.5,5.5,7.5,7,9.5,1,2
feared,Las Vegas Thrill,Western,N/A,EBA,2,3.5,3,0.5,0,1,1.5,0.5,0.5,1.5,1.5,1,2
meow,Las Vegas Thrill,Western,N/A,EBA,2,20,3.5,5,0,1.5,2,3,3,8.5,13,1,2
PizzaClub82,Las Vegas Thrill,Western,N/A,EBA,1,12,3,0,0,0,1,2,2,5,6,1,2
kqco,Washington Volt,Western,N/A,EBA,3,42.667,1.667,5.333,0,0,2,6.333,9,18,27.333,1,2
lit,Arizona Panthers,Western,N/A,EBA,1,6,1,2,0,0,0,2,4,2,6,0,2
carriedbygreens,Arizona Panthers,Western,N/A,EBA,1,6,0,2,0,0,1,1,3,2,6,0,2
Breezy,Arizona Panthers,Western,N/A,EBA,1,12,3,1,0,0,0,0,0,6,6,0,2
gau,Arizona Panthers,Western,N/A,EBA,1,2,3,4,0,1,2,0,1,1,3,0,2
dallas,Atlanta Breeze,Eastern,N/A,EBA,2,24,1.5,25.5,4.5,0,2,4.5,9.5,8,16.5,2,0
CardiBFan41,Nashville Anthem,Western,N/A,EBA,1,8,1,0,0,0,1,2,6,3,7,2,1
royal,Minnesota Huskies,Eastern,N/A,EBA,2,19.5,2.5,8.5,0,0,1.5,3.5,5,7.5,12.5,1,1
KANYEISRIGHT,Minnesota Huskies,Eastern,N/A,EBA,2,13.5,5,2.5,1,1,1.5,3.5,4.5,5,7,1,1
openthevauIts,Nashville Anthem,Western,N/A,EBA,2,30.5,2,2,0,0,2.5,4.5,8,12.5,18.5,2,1
tinyboatbike,Miami Beach Kings,Eastern,N/A,EBA,3,17,3.333,3,0,1,1.333,2.333,4,7.333,12.333,1,2
SmallLeron,Minnesota Huskies,Eastern,N/A,EBA,1,28,3,7,0,0,3,8,11,10,14,1,1
danny,Minnesota Huskies,Eastern,N/A,EBA,1,14,2,13,0,0,0,4,5,5,7,1,1
jorge,Nashville Anthem,Western,N/A,EBA,2,10.5,3.5,8,1.5,0,1,3.5,6.5,3.5,7,2,1
jon,San Diego Storm,Western,N/A,EBA,2,24,1,2.5,0.5,0,1,6,7.5,8.5,11.5,2,0
moon,San Diego Storm,Western,N/A,EBA,2,10.5,2.5,1.5,2,2.5,1.5,0.5,1,5,8.5,2,0
BOARDIIII,San Diego Storm,Western,N/A,EBA,2,14.5,5.5,4.5,0.5,2,0.5,1.5,2.5,6.5,10.5,2,0
Elijah,San Diego Storm,Western,N/A,EBA,2,24.5,6.5,1,0,0,2,2.5,3,11,15.5,2,0
hootwe,Orlando Supernovas,Eastern,N/A,EBA,2,3,4,2,2,0,0,1,1,1,1.5,1,1
dante,Seattle Reign,Western,N/A,EBA,1,9,5,4,0,0,5,1,10,4,13,0,3
ShadeyTre,Seattle Reign,Western,N/A,EBA,1,18,2,2,0,0,1,6,9,6,9,0,3
SQUAAX,Seattle Reign,Western,N/A,EBA,1,0,6,4,0,0,4,0,0,0,0,0,3
revian2,Miami Beach Kings,Eastern,N/A,EBA,1,4,0,0,0,0,2,0,0,2,3,1,2
valk,Miami Beach Kings,Eastern,N/A,EBA,1,3,2,0,0,1,2,1,1,1,2,1,2
Ewonke,Orlando Supernovas,Eastern,N/A,EBA,2,14,1.5,7.5,0,0,2,3,6,5.5,9,1,1
klowry7,Orlando Supernovas,Eastern,N/A,EBA,2,32.5,1,4,0,0,3,7.5,8,12,13.5,1,1
KingFendi,Orlando Supernovas,Eastern,N/A,EBA,2,14,2,3,0,0,0,0,0.5,7,9.5,1,1
ceo,Orlando Supernovas,Eastern,N/A,EBA,1,2,1,2,0,2,0,0,0,1,1,1,1
xay,Nashville Anthem,Western,N/A,EBA,2,19,4.5,2,2,1,1,3.5,4.5,7.5,9.5,2,1
revive,Minnesota Huskies,Eastern,N/A,EBA,2,6.5,1.5,3,1.5,0,3,1.5,3,2.5,7,1,1
kson,San Diego Storm,Western,N/A,EBA,2,11,1.5,15.5,3,0,1.5,3,3.5,4,5.5,2,0
noisy boy,Phoenix Power,Western,N/A,EBA,1,10,5,5,1,2,1,2,2,4,4,3,0
mere_humn,Miami Beach Kings,Eastern,N/A,EBA,2,3,1,12.5,0.5,0,1.5,1,1.5,1,2.5,1,2
Pluds,Phoenix Power,Western,N/A,EBA,1,25,3,2,0,0,0,7,9,9,11,3,0
9magic,Phoenix Power,Western,N/A,EBA,1,22,2,5,0,0,0,5,10,8,15,3,0
