PLAYER,TEAM,CONFERENCE,POSITION,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
Richcjso,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
michealraw,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
cantjumpwitjman,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripjoyboy6,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Phantom,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jinyxez,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
bloxer_nyc,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
zepseii,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Snagsgotstack,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Techhehe,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
stimwould,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Adultololz,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
31xz07,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceedaiboi,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Atromane1,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
den126000,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
pefitoo2,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
